name,address,phone,website,category,rating,search_query,scraped_at,email,status,sent_at,response_date,subject,followup_sent_at
"Alojamento Local ""Jardim do Marquês""","R. de Santo Ildefonso 238, 4000-465 Porto, Portugal",,http://www.primandproper.pt/,Alojamento Local,"4,8 estrelas",alojamento local Porto,2026-03-19T21:04:07.328915,frontdesk@primandproper.pt,followup_sent,,,,
OportoHost - Alojamento Local - Dragão,"R. de Pinto Bessa 248, 4300-431 Porto, Portugal",+351926816136,https://abnb.me/wIxosjsfhR,Alojamento Local,"4,7 estrelas",alojamento local Porto,2026-03-19T21:04:12.026342,info@oportohost.com,followup_sent,,,,
Onefam Ribeira Hostel Porto,"R. Chã 89, 4000-052 Porto, Portugal",,https://onefamhostels.com/ribeira-onefam-hostel-porto/,Hostel,"4,7 estrelas",alojamento local Porto,2026-03-19T21:04:14.458346,ribeira@onefamhostels.com,followup_sent,,,,
Fábrica de Histórias - Alojamento Local,"Host Wise, R. de Sá da Bandeira 706 6º Direito, 4000-432 Porto, Portugal",+351308804682,https://www.hostwise.pt/,Alojamento Local,"4,3 estrelas",alojamento local Porto,2026-03-19T21:04:19.525578,comercial@hostwise.pt,followup_sent,,,,
SantOporto Baixa Alojamento LocalT,"R. Guedes de Azevedo 131 1º Andar. Sala 17, 4000-272 Porto, Portugal",+351965396792,https://www.feelporto.com/,Alojamento Local,"4,4 estrelas",alojamento local Porto,2026-03-19T21:04:31.827290,info@feelporto.com,followup_sent,,,,
Residencial Vale Formoso,"Rua do Bicalho 108, 4150-139 Porto, Portugal",+351910346771,https://www.108mmhouse.com/,Residencial,"4,8 estrelas",alojamento local Porto,2026-03-19T21:04:59.052839,info@108mmhouse.com,followup_sent,,,,
STAY HOTEL PORTO CENTRO TRINDADE,"R. de Gonçalo Cristóvão 111, 4000-408 Porto, Portugal",,http://www.stayhotels.pt/,Hotel,"4,1 estrelas",alojamento local Porto centro,2026-03-19T21:06:20.482506,geral@stayhotels.pt,followup_sent,,,,
GuestHouse Marquês,"Praça do Marquês de Pombal 181, 4000-391 Porto, Portugal",,http://guesthousedomarques.pt/,Guest House,"4,3 estrelas",alojamento local Porto centro,2026-03-19T21:06:25.185448,geral@guesthousedomarques.pt,followup_sent,,,,
Travel & Live Marques,"R. de 5 de Outubro 195, 4100-175 Porto, Portugal",+351308810509,https://www.guestready.com/airbnb-management/porto/?utm_source=google&utm_medium=organic&utm_campaign=gbp-listing-porto,Hotel,"4,8 estrelas",alojamento local Porto centro,2026-03-19T21:06:49.486772,guest@guestready.com,followup_sent,,,,
2U Oporto Urban Stays,"União de Freguesias do Centro, Rua do Almada 462, 4000-303 Porto, Portugal",+351966289306,https://downtownportospot.smoobu.net/en/,Alojamento Local,"4,6 estrelas",alojamento local Porto centro,2026-03-19T21:07:00.324284,ruadoalmada462@gmail.com,followup_sent,,,,
Classico Guesthouse - Deluxe Double Room with Balcony,"430-196 Vila Nova de Gaia, Portugal",,https://br.bluepillow.com/search/5a8501907c00cb0e042ca641?dest=bkng&cat=Apartment&lat=41.11936&lng=-8.60716&language=pt,Guest House,,alojamento local Gaia,2026-03-19T21:07:40.336458,rzajac@gmail.com,followup_sent,,,,
GuestReady - Music Scale Studios - Studio Dó menor,"4050-593 Porto, Portugal",,https://www.holidu.es/d/65171936?ref_source=google_vr&utm_source=google_vr_eb,Hotel,,alojamento local Gaia,2026-03-19T21:07:42.684103,tu@email.com,followup_sent,,,,
D&S - Villa Apartments & Suites IV,"4000-171 Porto, Portugal",,https://www.dssmarthousing.com/aluguer/apartamento-porto-d-s-villa-apartments-suites-iv-393129.html?idReferer=3773,Hotel,,alojamento local Gaia,2026-03-19T21:07:49.546163,info@smarthousing.com,followup_sent,,,,
Rosalma Hostel Porto,"R. de Santa Catarina 501, 4000-452 Porto, Portugal",,http://rosalmahostel.com/,Hostel,"4,3 estrelas",hostels Porto,2026-03-19T21:09:14.818007,hello@rosalmahostel.com,followup_sent,,,,
Porto Lounge Hostel & Guesthouse,"Rua do Almada 317, 4050-038 Porto, Portugal",,http://portoloungehostel.com/,Hostel,"4,6 estrelas",hostels Porto,2026-03-19T21:09:19.356862,info@portoloungehostel.com,followup_sent,,,,
Gallery Hostel,"R. de S. João 40, 4050-492 Porto, Portugal",,https://thecentralhousehostels.com/porto-ribeira/,Hostel,"4,4 estrelas",hostels Porto,2026-03-19T21:09:25.929369,eventos.ribeira@thecentralhousehostels.com,followup_sent,,,,
Supernova Hostel,"R. Guedes de Azevedo 217, 4000-273 Porto, Portugal",+351910042494,http://supernovaporto.com/,Hostel,"4,3 estrelas",hostels Porto,2026-03-19T21:09:28.349204,user@domain.com,followup_sent,,,,
Porto Spot Hostel,"R. de Gonçalo Cristóvão 12, 4000-263 Porto, Portugal",+351964968543,https://hotels.cloudbeds.com/reservation/NREo10,Hostel,"4,6 estrelas",hostels Porto,2026-03-19T21:09:51.792920,hostel@spotgroup.pt,followup_sent,,,,
The Passenger Hostel,"R. de Sampaio Bruno 12 3rd, 4000-439 Porto, Portugal",,http://www.nicewayhostels.com/,Hostel,"4,2 estrelas",hostels Porto,2026-03-19T21:10:05.584628,info@nicewayporto.com,followup_sent,,,,
ZERO Box Lodge Porto,"R. de Belomonte 13, 4050-542 Porto, Portugal",+351966299636,http://www.beingportohostel.com/,Hotel,"4,6 estrelas",hostels Porto,2026-03-19T21:10:18.040309,info@beingportohostel.com,followup_sent,,,,
Happy Porto Hostel,"Estação São Bento, Praça Almeida Garrett, 4000-069 Porto, Portugal",+351963802000,http://www.thepassengerhostel.com/,Hostel,"4,7 estrelas",hostel Porto centro,2026-03-19T21:11:06.787090,info@thepassengerhostel.com,followup_sent,,,,
Oporto Sky Hostel,"R. de Miguel Bombarda 222 R/C, 4050-377 Porto, Portugal",,https://www.gallery-hostel.com/,Hostel,"4,7 estrelas",hostel Porto centro,2026-03-19T21:11:21.719491,RESERVATIONS@GALLERY-HOSTEL.COM,followup_sent,,,,
Garden in Town Hostel,"R. do Gen. Silveira 11, 4050-448 Porto, Portugal",,http://pilothostel.com/,Hostel,"4,4 estrelas",hostel Porto centro,2026-03-19T21:11:34.841660,help@pilothostel.com,followup_sent,,,,
Cale Guest House,"R. de Álvares Cabral 221, 4050-040 Porto, Portugal",+351916789511,https://byoporto.pt/portfolio/bo-alvares-cabral-guesthouse/,Guest House,"4,5 estrelas",guest house Porto,2026-03-19T21:13:49.071528,geral@byoporto.pt,followup_sent,,,,
inPátio Guest House,"Pátio de São Salvador 22, 4050-567 Porto, Portugal",+351934323448,http://www.inpatio.pt/,Guest House,"4,9 estrelas",guest house Porto,2026-03-19T21:13:52.270498,info@inpatio.pt,followup_sent,,,,
Dukes Corner Guest House,"Tv. Cel. Pacheco 11, 4050-454 Porto, Portugal",,http://aportuguesa-gh.com/,Guest House,"3,8 estrelas",guest house Porto,2026-03-19T21:14:13.467706,residencialportuguesa@gmail.com,followup_sent,,,,
Mirandesa Garden,"Lgo de S. Domingos 28, 4050-545 Porto, Portugal",+351966686081,http://www.caleguesthouse.pt/,Hotel,"4,6 estrelas",guest house Porto,2026-03-19T21:14:18.415643,geral@caleguesthouse.pt,followup_sent,,,,
Menina Colina Guesthouse,"R. Dr. Alberto Aires de Gouveia 19, 4050-023 Porto, Portugal",+351966311994,http://www.menina-colina.pt/,Guest House,"4,6 estrelas",guest house Porto,2026-03-19T21:14:21.324309,reservation@menina-colina.pt,followup_sent,,,,
Jardins do Porto - by Unlock Boutique Hotels,"Rua do Almada 613, 4050-039 Porto, Portugal",,http://www.jardinsdoporto.pt/,Hotel,"4,8 estrelas",guest house Porto,2026-03-19T21:14:31.811560,jardinsdoporto@unlockhotels.com,followup_sent,,,,
Residencial Lunar,"R. do Duque de Loulé 184, 4000-324 Porto, Portugal",,http://www.residenciallunar.com/,Residencial,"3,7 estrelas",pousada Porto,2026-03-19T21:15:52.194569,reservas@residenciallunar.com,followup_sent,,,,
Pensão França,"Praça de Gomes Teixeira 7, 4050-290 Porto, Portugal",,http://www.pensaofranca.com/,Residencial,"3,3 estrelas",pensão Porto,2026-03-19T21:16:28.377622,geral@pensaofranca..com,followup_sent,,,,
Pensão Favorita,"raça de Gomes Teixeira 7, 4050-290 Porto, Portugal",,http://www.pensaofavorita.pt/,Residencial,"3,3 estrelas",pensão Porto,2026-03-19T21:16:31.130145,welcome@pensaofavorita.pt,followup_sent,,,,
